"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"23/10/2025","","Saldo Anterior","","0","962.17",
"03/11/2025","","Pix - Recebido - 03/11 16:54 00003766666924 DANILO EDSO","","31654096502842","7836.60",
"03/11/2025","","Pix - Recebido - 03/11 17:12 00075607484149 CAIO RIBEIR","","31712181836302","6777.60",
"03/11/2025","","Pix - Recebido - 03/11 17:20 00006172655930 GUILHERME L","","31720304552762","17685.30",
"03/11/2025","","Pix - Recebido - 03/11 18:56 00004915480950 VINICIUS SA","","31856386459312","24992.40",
"03/11/2025","","Pix - Recebido - 03/11 19:19 06219147979 GUILHERME ANTU","","31919579260831","7201.20",
"03/11/2025","","Pix - Recebido - 03/11 19:20 87679043949 Marcos Luciano","","31920243881831","9954.60",
"03/11/2025","","Pix - Recebido - 03/11 19:24 00018223527898 EMERSON FER","","31924472538052","5824.50",
"04/11/2025","","Pix - Recebido - 04/11 06:02 03502807205 Kelvyn de Assu","","40602564767311","9107.40",
"04/11/2025","","Pix - Recebido - 04/11 08:11 87525160910 APARECIDA DOMI","","40811543269051","8789.70",
"04/11/2025","","Pix - Recebido - 04/11 09:21 00006572682919 ELEANDRO AL","","40921017059842","10695.90",
"04/11/2025","","Pix - Recebido - 04/11 09:34 00003276682885 RICARDO HEN","","40934318574672","36323.70",
"04/11/2025","","Pix - Recebido - 04/11 09:36 05402327939 Paulo Sérgio T","","40936250790961","14826.00",
"04/11/2025","","Pix - Recebido - 04/11 10:38 03864009979 GERSON SATURNI","","41038196171551","29757.90",
"04/11/2025","","Pix - Recebido - 04/11 11:54 00035730130821 KARINA BATA","","41154214255852","8657.33",
"04/11/2025","","Pix - Recebido - 04/11 13:04 00009062366902 MANOLO BRUN","","41304124561742","5718.60",
"04/11/2025","","Pix - Recebido - 04/11 13:14 00008700525944 WESLEY SANT","","41314474959322","51361.50",
"04/11/2025","","Pix - Recebido - 04/11 13:57 06987510946 John Lennon Ko","","41357546159461","6989.40",
"04/11/2025","","Pix - Recebido - 04/11 14:09 00004010813970 CLAUDEMIR A","","41409362388152","10378.20",
"04/11/2025","","Pix - Recebido - 04/11 14:25 14255131821 HENRIQUE C SIL","","41425541031961","4553.70",
"04/11/2025","","Pix - Recebido - 04/11 14:30 72648708987 FRANCISCA SPOR","","41430566412541","7095.30",
"04/11/2025","","Pix - Recebido - 04/11 14:59 24072524972 IVO ARCENO","","41459000840581","18426.60",
"04/11/2025","","Pix - Recebido - 04/11 15:16 07879996605 THIAGO LELLYS","","41516314016771","13872.90",
"04/11/2025","","Pix - Recebido - 04/11 15:16 05883125921 DOUGLAS SILVER","","41516556469121","2647.50",
"04/11/2025","","Pix - Recebido - 04/11 16:28 00014511181985 JOAO VICTOR","","41628271338222","15567.30",
